cases	file_name	project
TCGA-98-A53B-01A-11D-A25R-05	8784241130_R05C01_Red.idat	TCGA-LUSC
TCGA-77-6843-01A-11D-1947-05	6264496025_R02C02_Grn.idat	TCGA-LUSC
TCGA-56-8304-01A-11D-2324-05	7786923103_R01C01_Grn.idat	TCGA-LUSC
TCGA-22-4613-01A-01D-1440-05	6055424054_R04C01_Red.idat	TCGA-LUSC
TCGA-56-8629-01A-11D-2398-05	8784225054_R06C02_Red.idat	TCGA-LUSC
TCGA-85-8352-01A-31D-2324-05	7786923103_R04C02_Red.idat	TCGA-LUSC
TCGA-63-5131-01A-01D-1440-05	6055424084_R03C01_Grn.idat	TCGA-LUSC
TCGA-18-4721-01A-01D-1440-05	6055424076_R06C01_Grn.idat	TCGA-LUSC
TCGA-94-7943-01A-11D-2185-05	7786923091_R05C01_Red.idat	TCGA-LUSC
TCGA-34-7107-01A-11D-1947-05	6264496026_R03C02_Red.idat	TCGA-LUSC
TCGA-77-7338-01A-11D-2043-05	6285633079_R02C01_Red.idat	TCGA-LUSC
TCGA-NC-A5HP-01A-11D-A26N-05	9305216121_R03C02_Red.idat	TCGA-LUSC
TCGA-63-A5MV-01A-21D-A26N-05	9305216074_R05C02_Red.idat	TCGA-LUSC
TCGA-56-8624-01A-11D-2398-05	8784225054_R05C01_Grn.idat	TCGA-LUSC
TCGA-85-8071-01A-11D-2245-05	6264488071_R04C01_Red.idat	TCGA-LUSC
TCGA-85-A513-01A-12D-A26N-05	9305216133_R05C02_Grn.idat	TCGA-LUSC
TCGA-33-4589-01A-01D-1440-05	6055424084_R05C02_Grn.idat	TCGA-LUSC
TCGA-58-A46N-01A-11D-A24I-05	8784241001_R02C02_Red.idat	TCGA-LUSC
TCGA-22-5480-01A-01D-1633-05	6042308078_R04C02_Grn.idat	TCGA-LUSC
TCGA-22-5489-11A-01D-1633-05	6042308078_R02C02_Red.idat	TCGA-LUSC
TCGA-33-4566-11A-01D-1440-05	6055424086_R01C01_Grn.idat	TCGA-LUSC
TCGA-85-8277-01A-11D-2294-05	6285633054_R02C02_Grn.idat	TCGA-LUSC
TCGA-85-8070-01A-11D-2245-05	6264488072_R06C02_Red.idat	TCGA-LUSC
TCGA-58-8393-01A-11D-2324-05	7786923103_R05C01_Red.idat	TCGA-LUSC
TCGA-NK-A5CT-01A-31D-A26N-05	9305216133_R01C01_Grn.idat	TCGA-LUSC
TCGA-33-6737-01A-11D-1818-05	6057825048_R04C01_Red.idat	TCGA-LUSC
TCGA-22-5479-01A-31D-1947-05	6264496025_R01C02_Red.idat	TCGA-LUSC
TCGA-85-A4QR-01A-11D-A258-05	8784241020_R01C02_Grn.idat	TCGA-LUSC
TCGA-77-6845-01A-11D-1947-05	6264496026_R02C02_Red.idat	TCGA-LUSC
TCGA-NC-A5HH-01A-11D-A26N-05	9305216126_R04C01_Grn.idat	TCGA-LUSC
TCGA-21-5783-01A-41D-2185-05	7786923091_R02C01_Grn.idat	TCGA-LUSC
TCGA-58-8390-01A-11D-2324-05	7786923103_R03C01_Red.idat	TCGA-LUSC
TCGA-94-A5I6-01A-21D-A27L-05	9283265142_R06C02_Grn.idat	TCGA-LUSC
TCGA-85-6175-01A-11D-1818-05	6057825048_R01C02_Red.idat	TCGA-LUSC
TCGA-85-A50M-01A-21D-A25R-05	8784241130_R06C02_Grn.idat	TCGA-LUSC
TCGA-77-8156-01A-11D-2245-05	6264488074_R06C02_Grn.idat	TCGA-LUSC
TCGA-33-AASD-01A-11D-A408-05	3999492078_R02C01_Grn.idat	TCGA-LUSC
TCGA-39-5029-01A-01D-1440-05	6055424076_R03C01_Red.idat	TCGA-LUSC
TCGA-22-5474-01A-01D-1633-05	6042308078_R04C01_Grn.idat	TCGA-LUSC
TCGA-98-A53D-01A-32D-A26N-05	9305216159_R03C01_Red.idat	TCGA-LUSC
TCGA-33-AASI-01A-22D-A408-05	3999492078_R03C02_Red.idat	TCGA-LUSC
TCGA-85-8351-01A-11D-2294-05	6285633040_R03C02_Grn.idat	TCGA-LUSC
TCGA-NC-A5HJ-01A-11D-A26N-05	9305216133_R04C02_Grn.idat	TCGA-LUSC
TCGA-77-8154-01A-11D-2245-05	6264488074_R05C01_Red.idat	TCGA-LUSC
TCGA-63-7022-01A-11D-1947-05	6264496026_R01C01_Red.idat	TCGA-LUSC
TCGA-22-5477-01A-01D-1633-05	6042308078_R06C02_Red.idat	TCGA-LUSC
TCGA-77-8007-01A-11D-2185-05	7786923091_R01C01_Red.idat	TCGA-LUSC
TCGA-90-A59Q-01A-11D-A26N-05	9305216133_R03C01_Red.idat	TCGA-LUSC
TCGA-63-A5MM-01A-11D-A26N-05	9305216126_R01C02_Grn.idat	TCGA-LUSC
TCGA-56-8504-01A-11D-2398-05	8784225054_R02C02_Grn.idat	TCGA-LUSC
TCGA-22-5489-01A-01D-1633-05	6042308087_R02C01_Red.idat	TCGA-LUSC
TCGA-85-7696-01A-11D-2123-05	6929742070_R04C01_Grn.idat	TCGA-LUSC
TCGA-51-6867-01A-11D-2043-05	6285633083_R01C02_Grn.idat	TCGA-LUSC
TCGA-85-8049-01A-11D-2245-05	6264488072_R02C02_Grn.idat	TCGA-LUSC
TCGA-22-5471-11A-01D-1633-05	6042308078_R03C02_Red.idat	TCGA-LUSC
TCGA-68-7757-01B-11D-2294-05	6285633054_R03C01_Red.idat	TCGA-LUSC
TCGA-39-5019-01A-01D-1818-05	6057825048_R05C01_Red.idat	TCGA-LUSC
TCGA-33-4587-01A-11D-2123-05	6929742073_R01C02_Red.idat	TCGA-LUSC
TCGA-98-8022-01A-11D-2245-05	6264488074_R05C02_Grn.idat	TCGA-LUSC
TCGA-94-8490-01A-11D-2324-05	7786923103_R04C01_Red.idat	TCGA-LUSC
TCGA-22-5492-01A-01D-1633-05	6042308120_R03C01_Grn.idat	TCGA-LUSC
TCGA-77-8138-01A-11D-2245-05	6264488072_R04C01_Grn.idat	TCGA-LUSC
TCGA-68-8250-01A-11D-2294-05	6285633054_R01C02_Red.idat	TCGA-LUSC
TCGA-LA-A7SW-01A-11D-A408-05	3999492078_R04C02_Red.idat	TCGA-LUSC
TCGA-22-4605-01A-21D-2123-05	6929742075_R02C01_Grn.idat	TCGA-LUSC
TCGA-43-6771-11A-01D-1818-05	6057825101_R02C02_Red.idat	TCGA-LUSC
TCGA-39-5039-11A-01D-1440-05	6055424054_R01C02_Grn.idat	TCGA-LUSC
TCGA-77-8130-01A-11D-2245-05	6264488071_R06C01_Grn.idat	TCGA-LUSC
TCGA-O2-A52Q-01A-11D-A26N-05	9305216074_R03C02_Red.idat	TCGA-LUSC
TCGA-63-A5MT-01A-21D-A26N-05	9305216126_R03C02_Red.idat	TCGA-LUSC
TCGA-85-8351-01A-11D-2294-05	6285633040_R03C02_Red.idat	TCGA-LUSC
TCGA-18-4721-01A-01D-1440-05	6055424076_R06C01_Red.idat	TCGA-LUSC
TCGA-34-5234-01A-01D-1633-05	6042308087_R02C02_Red.idat	TCGA-LUSC
TCGA-85-8582-01A-21D-2398-05	8784225054_R04C02_Red.idat	TCGA-LUSC
TCGA-NC-A5HM-01A-12D-A26N-05	9305216126_R06C01_Grn.idat	TCGA-LUSC
TCGA-56-A4BY-01A-11D-A24I-05	8784241001_R06C02_Red.idat	TCGA-LUSC
TCGA-34-5240-01A-01D-1440-05	6055424054_R03C01_Red.idat	TCGA-LUSC
TCGA-37-5819-01A-01D-1633-05	6042308099_R03C02_Grn.idat	TCGA-LUSC
TCGA-22-4601-01A-01D-1440-05	6055424054_R06C02_Red.idat	TCGA-LUSC
TCGA-56-8083-01A-11D-2245-05	6264488072_R03C02_Red.idat	TCGA-LUSC
TCGA-22-5478-11A-11D-1633-05	6042308120_R04C01_Grn.idat	TCGA-LUSC
TCGA-77-8144-01A-11D-2245-05	6264488074_R04C01_Red.idat	TCGA-LUSC
TCGA-43-6770-01A-11D-1818-05	6057825034_R05C02_Grn.idat	TCGA-LUSC
TCGA-98-A539-01A-31D-A25R-05	8784241048_R01C02_Red.idat	TCGA-LUSC
TCGA-77-8009-01A-11D-2185-05	7786923091_R03C01_Grn.idat	TCGA-LUSC
TCGA-O2-A52W-01A-11D-A26N-05	9305216126_R05C02_Grn.idat	TCGA-LUSC
TCGA-34-5928-01A-11D-1818-05	6057825034_R04C02_Grn.idat	TCGA-LUSC
TCGA-NC-A5HP-01A-11D-A26N-05	9305216121_R03C02_Grn.idat	TCGA-LUSC
TCGA-18-5595-11A-01D-1633-05	6042308078_R01C01_Grn.idat	TCGA-LUSC
TCGA-18-5592-11A-11D-1633-05	6042308120_R03C02_Grn.idat	TCGA-LUSC
TCGA-NC-A5HF-01A-11D-A26N-05	9305216074_R06C01_Red.idat	TCGA-LUSC
TCGA-56-A4ZJ-01A-11D-A25R-05	8784241130_R01C01_Grn.idat	TCGA-LUSC
TCGA-92-8065-01A-11D-2245-05	6264488072_R03C01_Grn.idat	TCGA-LUSC
TCGA-39-5031-01A-01D-1440-05	6055424054_R02C01_Grn.idat	TCGA-LUSC
TCGA-85-A4PA-01A-11D-A258-05	8784241020_R05C01_Red.idat	TCGA-LUSC
TCGA-85-8582-01A-21D-2398-05	8784225054_R04C02_Grn.idat	TCGA-LUSC
TCGA-39-5029-01A-01D-1440-05	6055424076_R03C01_Grn.idat	TCGA-LUSC
TCGA-56-7731-01A-11D-2123-05	6929742073_R03C02_Grn.idat	TCGA-LUSC
TCGA-90-A59Q-01A-11D-A26N-05	9305216133_R03C01_Grn.idat	TCGA-LUSC
TCGA-58-8390-01A-11D-2324-05	7786923103_R03C01_Grn.idat	TCGA-LUSC
TCGA-94-7557-01A-11D-2123-05	6929742070_R05C01_Red.idat	TCGA-LUSC
TCGA-33-4582-11A-01D-1440-05	6055424076_R05C02_Red.idat	TCGA-LUSC
TCGA-70-6722-01A-11D-1818-05	6057825034_R06C02_Red.idat	TCGA-LUSC
TCGA-22-5481-01A-31D-1947-05	6264496026_R06C01_Grn.idat	TCGA-LUSC
TCGA-NC-A5HK-01A-11D-A26N-05	9305216133_R04C01_Grn.idat	TCGA-LUSC
TCGA-77-8131-01A-11D-2245-05	6264488071_R03C02_Red.idat	TCGA-LUSC
TCGA-63-6202-01A-11D-1818-05	6057825101_R06C01_Red.idat	TCGA-LUSC
TCGA-33-AASD-01A-11D-A408-05	3999492078_R02C01_Red.idat	TCGA-LUSC
TCGA-77-A5GA-01A-11D-A27L-05	9283265144_R05C02_Grn.idat	TCGA-LUSC
TCGA-94-A4VJ-01A-11D-A258-05	8784241020_R02C01_Grn.idat	TCGA-LUSC
TCGA-92-7341-01A-31D-2043-05	6285633083_R04C01_Red.idat	TCGA-LUSC
TCGA-63-A5MJ-01A-11D-A27L-05	9283265142_R04C02_Red.idat	TCGA-LUSC
TCGA-85-A4QQ-01A-41D-A25R-05	8784241130_R01C02_Grn.idat	TCGA-LUSC
TCGA-79-5596-01A-31D-1947-05	6264496025_R04C02_Red.idat	TCGA-LUSC
TCGA-77-7141-01A-11D-2043-05	6285633073_R04C02_Red.idat	TCGA-LUSC
TCGA-37-A5EL-01A-11D-A26N-05	9305216133_R05C01_Grn.idat	TCGA-LUSC
